run_id,seed,repeat_id,dataset_key,dataset_hf_id,hf_model_name,n_labels,f1_avg,dataset,eval_size,model,tool,test_id,n_eval,n_ok,fail_rate,changed_rate,avg_similarity,invariance_rate,acc,f1,acc_clean,f1_clean,drop_acc,drop_f1,time_sec,peak_rss_mb,attack_success_rate,notes
2026-01-09_18-58,44,3,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,checklist,checklist_typos,400,400,0.0,0.96,0.987453127392386,0.9525,0.7725,0.7838479809976246,0.79,0.7980769230769231,0.01750000000000007,0.014228942079298479,0.020247,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,checklist,checklist_typos,400,400,0.0,0.96,0.987453127392386,0.965,0.9,0.900990099009901,0.91,0.9104477611940298,0.010000000000000009,0.009457662184128801,0.514941,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,checklist,checklist_typos,400,400,0.0,0.975,0.9875170011389932,0.945,0.785,0.7981220657276995,0.815,0.8246445497630331,0.029999999999999916,0.026522484035333638,0.030203,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,checklist,checklist_typos,400,400,0.0,0.975,0.9875170011389932,0.945,0.89,0.8921568627450981,0.905,0.9090909090909091,0.015000000000000013,0.01693404634581097,0.517791,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,checklist,checklist_typos,400,400,0.0,0.9675,0.9878244821103896,0.9475,0.8025,0.8077858880778589,0.81,0.8146341463414634,0.007500000000000062,0.0068482582636044675,0.032366,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,checklist,checklist_typos,400,400,0.0,0.9675,0.9878244821103896,0.96,0.885,0.8844221105527639,0.905,0.905940594059406,0.020000000000000018,0.021518483506642094,0.543406,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,42,1,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,textattack,textattack_textfooler,40,31,0.225,0.9032258064516129,0.8916971618551007,,0.0967741935483871,0.06666666666666667,1.0,1.0,0.9032258064516129,0.9333333333333333,90.219009,842.062,0.9032258064516129,peak_delta_mb; N_ATTACK=40; query_budget=200; skipped=9; failed=3; success=28
2026-01-09_18-58,42,1,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,textattack,textattack_textfooler,10,8,0.2,0.875,0.9348651934680845,,0.125,0.2222222222222222,1.0,1.0,0.875,0.7777777777777778,13.285141,367.812,0.875,peak_delta_mb; N_ATTACK=10; query_budget=200; skipped=2; failed=1; success=7; batch_size=32; max_length=256
2026-01-09_18-58,43,2,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,textattack,textattack_textfooler,40,33,0.175,0.8787878787878788,0.8508921303763223,,0.12121212121212122,0.06451612903225806,1.0,1.0,0.8787878787878788,0.935483870967742,67.376507,0.465,0.8787878787878788,peak_delta_mb; N_ATTACK=40; query_budget=200; skipped=7; failed=4; success=29
2026-01-09_18-58,43,2,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,textattack,textattack_textfooler,10,8,0.2,1.0,0.8666143931588233,,0.0,0.0,1.0,1.0,1.0,1.0,7.919126,0.008,1.0,peak_delta_mb; N_ATTACK=10; query_budget=200; skipped=2; failed=0; success=8; batch_size=32; max_length=256
2026-01-09_18-58,44,3,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,textattack,textattack_textfooler,40,31,0.225,0.8709677419354839,0.8802283866477681,,0.12903225806451613,0.06896551724137931,1.0,1.0,0.8709677419354839,0.9310344827586207,68.638802,0.148,0.8709677419354839,peak_delta_mb; N_ATTACK=40; query_budget=200; skipped=9; failed=4; success=27
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,textattack,textattack_textfooler,10,10,0.0,0.9,0.8466664791167189,,0.1,0.18181818181818182,1.0,1.0,0.9,0.8181818181818181,16.342912,0.004,0.9,peak_delta_mb; N_ATTACK=10; query_budget=200; skipped=0; failed=1; success=9; batch_size=32; max_length=256
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,textattack,textattack_textfooler,40,32,0.2,0.9375,0.8591353328506799,,0.0625,0.11764705882352941,1.0,1.0,0.9375,0.8823529411764706,64.394122,0.027,0.9375,peak_delta_mb; N_ATTACK=40; query_budget=200; skipped=8; failed=2; success=30
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,textattack,textattack_textfooler,10,10,0.0,1.0,0.8808498745526652,,0.0,0.0,1.0,1.0,1.0,1.0,13.354044,0.0,1.0,peak_delta_mb; N_ATTACK=10; query_budget=200; skipped=0; failed=0; success=10; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,textattack,textattack_textfooler,40,35,0.125,0.8571428571428571,0.8834654154699662,,0.14285714285714285,0.11764705882352941,1.0,1.0,0.8571428571428572,0.8823529411764706,68.55085,0.031,0.8571428571428571,peak_delta_mb; N_ATTACK=40; query_budget=200; skipped=5; failed=5; success=30
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,textattack,textattack_textfooler,10,9,0.1,0.8888888888888888,0.9284224501775067,,0.1111111111111111,0.0,1.0,1.0,0.8888888888888888,1.0,11.921904,0.0,0.8888888888888888,peak_delta_mb; N_ATTACK=10; query_budget=200; skipped=1; failed=1; success=8; batch_size=32; max_length=256
